address,level,
0xb56c49196038b6c3843f3d2f47a3db7a77693f21,high,",('0xb56c49196038b6c3843f3d2f47a3db7a77693f21','high')"
0x768e0623aa6c25536a0e6de6bd7f8f7abeef0676,high,",('0x768e0623aa6c25536a0e6de6bd7f8f7abeef0676','high')"
0x369abd805d1f1b84c91a9e5304c4537ad57acc09,high,",('0x369abd805d1f1b84c91a9e5304c4537ad57acc09','high')"
0x3f6537e23420c5319e91f3839a37750f930ab537,high,",('0x3f6537e23420c5319e91f3839a37750f930ab537','high')"
0x82e2ce848b2816dc9cb840f9b069903f83333233,high,",('0x82e2ce848b2816dc9cb840f9b069903f83333233','high')"
0x8863fdcaa2443efc37d91e1e8781303b2b7006ae,high,",('0x8863fdcaa2443efc37d91e1e8781303b2b7006ae','high')"
0xe36ac48bd63be3ebecfdcf647db404507d13da36,high,",('0xe36ac48bd63be3ebecfdcf647db404507d13da36','high')"
0xc4e02478f53a70c2628c1d390675355b0a446bd0,high,",('0xc4e02478f53a70c2628c1d390675355b0a446bd0','high')"
0xefcb26da1fe9520d4c097dfbe11310d96a94bf94,high,",('0xefcb26da1fe9520d4c097dfbe11310d96a94bf94','high')"
0x91cb9c2643285ff450d636ae2bbbc9dadb97c70c,high,",('0x91cb9c2643285ff450d636ae2bbbc9dadb97c70c','high')"
0x5c821c5a2210a0d37a5f27be507301349559a802,high,",('0x5c821c5a2210a0d37a5f27be507301349559a802','high')"
0x63f014de5a09337b5e3ca33a0605f8c148056dec,high,",('0x63f014de5a09337b5e3ca33a0605f8c148056dec','high')"
0x58a60510df39530ffde57c6d4da2869a8875976f,high,",('0x58a60510df39530ffde57c6d4da2869a8875976f','high')"
0x85de51e9b38a7209342ceacc63239ca910da0de2,high,",('0x85de51e9b38a7209342ceacc63239ca910da0de2','high')"
0x6df26542fea5613ff275b4f7f569d7e6ec1544b3,high,",('0x6df26542fea5613ff275b4f7f569d7e6ec1544b3','high')"
0x62dd47bda97f6e6ae29cc6c8fa03f327fdff4422,high,",('0x62dd47bda97f6e6ae29cc6c8fa03f327fdff4422','high')"
0x6387b80afc8fadae2545e4e20eb9b9aa10cd83ce,high,",('0x6387b80afc8fadae2545e4e20eb9b9aa10cd83ce','high')"
0x6576e87505730e3b71da6c4f0776f48e96b6f149,high,",('0x6576e87505730e3b71da6c4f0776f48e96b6f149','high')"
0xedfe14fceb460cdb4b3b0128e073631165dbfea8,high,",('0xedfe14fceb460cdb4b3b0128e073631165dbfea8','high')"
0x164d25ab499c3071faebd1f221b707d56b2384ee,high,",('0x164d25ab499c3071faebd1f221b707d56b2384ee','high')"
0x6ffe1ff1d736deb8b79e321a54c3e1327630b899,high,",('0x6ffe1ff1d736deb8b79e321a54c3e1327630b899','high')"
0xdc077ee003253c0fd1a3c21f21586d26d3fbaf81,high,",('0xdc077ee003253c0fd1a3c21f21586d26d3fbaf81','high')"
0xb23b3b12092a431cf218835357a4f90b80d996e2,high,",('0xb23b3b12092a431cf218835357a4f90b80d996e2','high')"
0x4760a84fcdd0802b78fc1596981579ff537656c8,high,",('0x4760a84fcdd0802b78fc1596981579ff537656c8','high')"
0xef142233bc6b19742892579b0c755763b252d01f,high,",('0xef142233bc6b19742892579b0c755763b252d01f','high')"
0xc0a93509b9f6c1f76649d69ed872adf15650ed5f,high,",('0xc0a93509b9f6c1f76649d69ed872adf15650ed5f','high')"
0x0362e221240cb2c8bdb52fe34311f68c7d2133eb,high,",('0x0362e221240cb2c8bdb52fe34311f68c7d2133eb','high')"
0x578e3f94fc3a9fde6c32e1185d7be2e27d212c9a,high,",('0x578e3f94fc3a9fde6c32e1185d7be2e27d212c9a','high')"
0xe27d70f63a8f05fae6926debf0e8ecd50faf92d8,high,",('0xe27d70f63a8f05fae6926debf0e8ecd50faf92d8','high')"
0xfda1c337aca1a89cf4a56ea28cb14b1f7fd2b8d5,high,",('0xfda1c337aca1a89cf4a56ea28cb14b1f7fd2b8d5','high')"
0xf02cd9280ecaaa0e3574fed832eb95a0cd5b66a0,high,",('0xf02cd9280ecaaa0e3574fed832eb95a0cd5b66a0','high')"
0xa7e1b82ebf3075ab15a31f07885db768b5247ae1,high,",('0xa7e1b82ebf3075ab15a31f07885db768b5247ae1','high')"
0xfae3abfcf42242dbd65f93de39c5c0b94d2d84a6,high,",('0xfae3abfcf42242dbd65f93de39c5c0b94d2d84a6','high')"
